total words: 10049, frequent words (> 100): 1273, cutoff: 0.002
top words: 20, super top words: 2, cutoff: 0.1
#POLYSEMOUS TERMS
	[ABORTUS, Assessment_Section, Percent_Unit, Androgen_Response_Element, Abortus, Left_Arm]
muscularis	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Muscle_Layer	Muscle Layer
Muscularis	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Muscle_Layer	Muscle Layer
RCUD	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Refractory_Cytopenia_with_Unilineage_Dysplasia	Refractory Cytopenia with Unilineage Dysplasia
ethmoid	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ethmoid_Bone	Entire ethmoid bone
Ethmoid	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ethmoid_Bone	Entire ethmoid bone
Striatum	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Corpus_Striatum	Corpus Striatum
USEI	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ultrasound_Elasticity_Imaging	Ultrasound Elasticity Imaging
Shawnee	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Shawnee	Shawnee Indians
RaceAmericanIndianShawnee	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Shawnee	Shawnee Indians
vessels	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Blood_Vessel	Blood Vessel Tissue
vessel	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Blood_Vessel	Blood Vessel Tissue
vascular	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Blood_Vessel	Blood Vessel Tissue
Vessels	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Blood_Vessel	Blood Vessel Tissue
Vessel	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Blood_Vessel	Blood Vessel Tissue
Vascular	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Blood_Vessel	Blood Vessel Tissue
Buccal	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Buccal_Surface	Buccal surface
Gambell	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Gambell	Gambell Eskimos
MAX_TEMPERATURE	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#MaxTemperature_Section	MAX TEMPERATURE
T-MAX	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#MaxTemperature_Section	MAX TEMPERATURE
TMAX	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#MaxTemperature_Section	MAX TEMPERATURE
SoftTissueRoute	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Soft_Tissue	Soft Tissue Route of Administration
Neck	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Neck	dendritic spine neck
pedicle	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Neck	dendritic spine neck
NECK	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Neck	dendritic spine neck
neck	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Neck	dendritic spine neck
Necks	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Neck	dendritic spine neck
Cervical	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Neck	dendritic spine neck
Collum	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Neck	dendritic spine neck
PEM	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Positron_Emission_Mammography	Positron Emission Mammography
IGART	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Image_Guided_Adaptive_Radiation_Therapy	Image-Guided Adaptive Radiation Therapy
trigem	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Trigeminal_Nerve	Trigeminal Nerve
Tygh	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Tygh	Tygh Indians
IMT	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Inflammatory_Myofibroblastic_Tumor	Inflammatory Myofibroblastic Tumor
FOLLOW-UP	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#FollowUp_Section	FOLLOW UP
FOLLOWUP	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#FollowUp_Section	FOLLOW UP
FU	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#FollowUp_Section	FOLLOW UP
F/U	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#FollowUp_Section	FOLLOW UP
RTC	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#FollowUp_Section	FOLLOW UP
pN0(i+)	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Breast_Cancer_pN0_i_plus_TNM_Finding	Breast Cancer pN0(i+) TNM Finding v7
DS	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Discharge_summary	Discharge summary
NHL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Non_Hodgkin_Lymphoma	Non-Hodgkin Lymphoma
Sleetmute	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Sleetmute	Sleetmute Eskimos
Trinidadian	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Trinidadian	Trinidadian race
Syringocystoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Eccrine_Hidrocystoma	Eccrine hidrocystoma
Arctic	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Arctic	Arctic Regions
ARCTIC	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Arctic	Arctic Regions
LINES	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Long_Interspersed_Element	Long Interspersed Element
LINE	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Long_Interspersed_Element	Long Interspersed Element
Ahtna	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ahtna	Ahtena language
Ahtena	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ahtna	Ahtena language
Atna	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ahtna	Ahtena language
OPERATIVE_PROCEDURAL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#OperativeProcedural_Section	OPERATIVE PROCEDURAL
OPERATIVE	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#OperativeProcedural_Section	OPERATIVE PROCEDURAL
Lipan	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Lipan_Apache	Lipan Apache language
NLPHL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Nodular_Lymphocyte_Predominant_Hodgkin_Lymphoma	Nodular Lymphocyte Predominant Hodgkin Lymphoma
Hippocampus	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Hippocampus	Genus Hippocampus
Seahorse	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Hippocampus	Genus Hippocampus
HIPPOCAMPUS	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Hippocampus	Genus Hippocampus
Hippocampal	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Hippocampus	Genus Hippocampus
hippocampus	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Hippocampus	Genus Hippocampus
Seahorses	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Hippocampus	Genus Hippocampus
Nondalton	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Nondalton	Nondalton Indians
FLC	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Fibrolamellar_Carcinoma	Fibrolamellar Carcinoma
Hannahville	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Hannahville	Hannahville race
Chiasma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Optic_Chiasm	Optic Chiasms
Allakaket	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Allakaket	Allakaket Indians
Pubis	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Pubic_Bone	Pubic Bone
pubis	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Pubic_Bone	Pubic Bone
Corticotropinoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#ACTH_Producing_Pituitary_Gland_Adenoma	ACTH-Producing Pituitary Gland Adenoma
ACTHoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#ACTH_Producing_Pituitary_Gland_Adenoma	ACTH-Producing Pituitary Gland Adenoma
Incisura	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Posterior_Supratentorial_Cistern	Posterior Supratentorial Cistern
Navicular	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Navicular_Bone	Navicular Bone
MALT	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Mucosa-Associated_Lymphoid_Tissue	Mucosa-Associated Lymphoid Tissue
UPJ	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ureteropelvic_Junction	Ureteropelvic Junction
PUJ	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ureteropelvic_Junction	Ureteropelvic Junction
BNCT	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Boron_Neutron_Capture_Therapy	Boron Neutron Capture Therapy
Liberian	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Liberian	Liberian race
Liberians	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Liberian	Liberian race
LIBERIAN	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Liberian	Liberian race
pTis(Paget)	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Breast_Cancer_pTis_Paget_TNM_Finding	pTIs Paget
cytosol	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ground_Substance	Cytoplasmic matrix
Cytosol	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ground_Substance	Cytoplasmic matrix
Cytosols	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ground_Substance	Cytoplasmic matrix
Cytomatrix	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ground_Substance	Cytoplasmic matrix
cytomatrix	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ground_Substance	Cytoplasmic matrix
hyaloplasm	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ground_Substance	Cytoplasmic matrix
Hyaloplasm	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ground_Substance	Cytoplasmic matrix
MCP1	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Metacarpophalangeal_Joint_1	Metacarpophalangeal Joint 1
MCP5	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Metacarpophalangeal_Joint_5	Metacarpophalangeal Joint 5
MCP4	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Metacarpophalangeal_Joint_4	Metacarpophalangeal Joint 4
MCP3	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Metacarpophalangeal_Joint_3	Metacarpophalangeal Joint 3
MCP2	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Metacarpophalangeal_Joint_2	Metacarpophalangeal Joint 2
5'UTR	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#5_Untranslated_Region	5' Untranslated Region
5'UTRs	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#5_Untranslated_Region	5' Untranslated Region
3'UTR	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#3_Untranslated_Region	3' Untranslated Region
3'UTRs	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#3_Untranslated_Region	3' Untranslated Region
Polish	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Polish	Polish population
POLISH	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Polish	Polish population
Eagle	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Eagle	Eagle Indian
Eagles	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Eagle	Eagle Indian
APBI	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Accelerated_Partial_Breast_Irradiation	Accelerated Partial Breast Irradiation
Mcgrath	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Mcgrath	Mcgrath Indians
Knik	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Knik	Knik Indians
Psammoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Psammomatous_Meningioma	Psammomatous Meningioma
Auricle	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Auricle	External Ear
pinna	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Auricle	External Ear
Ear.external	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Auricle	External Ear
Auricula	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Auricle	External Ear
PINNA	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Auricle	External Ear
Pinna	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Auricle	External Ear
CLL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Small_Lymphocytic_Lymphoma	Chronic Lymphocytic Leukemia
SLL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Small_Lymphocytic_Lymphoma	Chronic Lymphocytic Leukemia
BCLL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Small_Lymphocytic_Lymphoma	Chronic Lymphocytic Leukemia
Gulkana	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Gulkana	Gulkana Indians
Mesial	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Mesial_Surface	Mesial Surface
Myelinated	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Myelin_Sheath	Myelin Sheath
Myelin	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Myelin_Sheath	Myelin Sheath
myelin	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Myelin_Sheath	Myelin Sheath
Unstable	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Unstable_status	Unstable status
Minimum	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Minimum	Minimum Value Derivation Technique
MIN	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Minimum	Minimum Value Derivation Technique
Minimal	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Minimum	Minimum Value Derivation Technique
MINIMAL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Minimum	Minimum Value Derivation Technique
minimum	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Minimum	Minimum Value Derivation Technique
MINIMUM	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Minimum	Minimum Value Derivation Technique
Trace	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Minimum	Minimum Value Derivation Technique
2	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Tooth_2	Tooth 2
1	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Tooth_1	Tooth 1
Cricopharynx	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Postcricoid_Region	Postcricoid Region
t-MDS/MPN	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Therapy_Related_Myelodysplastic_Myeloproliferative_Neoplasm	Therapy-Related Myelodysplastic/Myeloproliferative Neoplasm
FAMILY_AND_SOCIAL_HISTORY	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#FamilyAndSocialHistory_Section	FAMILY AND SOCIAL HISTORY
PFSH	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#FamilyAndSocialHistory_Section	FAMILY AND SOCIAL HISTORY
Kinetosomes	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Basal_Body	Basal Bodies
Blepharoplast	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Basal_Body	Basal Bodies
kinetosome	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Basal_Body	Basal Bodies
Kinetosome	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Basal_Body	Basal Bodies
Maliseet	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Maliseet	Maliseet race
Ganglion	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ganglion	Myxoid cyst
Ganglions	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ganglion	Myxoid cyst
Ganglia	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ganglion	Myxoid cyst
ganglion	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ganglion	Myxoid cyst
GANGLION	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ganglion	Myxoid cyst
Ganglionic	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ganglion	Myxoid cyst
Swinomish	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Swinomish	Swinomish Indians
Lakota	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Lakota	Teton Sioux Indians
Teton	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Lakota	Teton Sioux Indians
Lakhota	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Lakota	Teton Sioux Indians
Kwethluk	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Kwethluk	Kwethluk Eskimos
O	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#ObjectiveData_Section	OBJECTIVE DATA
OBJ	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#ObjectiveData_Section	OBJECTIVE DATA
OBJECTIVE	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#ObjectiveData_Section	OBJECTIVE DATA
Chenega	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Chenega	Chenega Aleuts
Skullcap	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Skullcap	Skullcap preparation
Calva	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Skullcap	Skullcap preparation
Calvaria	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Skullcap	Skullcap preparation
Calveria	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Skullcap	Skullcap preparation
Calvarium	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Skullcap	Skullcap preparation
calvarium	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Skullcap	Skullcap preparation
Kawaiisu	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Kawaiisu	Kawaiisu race
Wiyot	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Wiyot	Wiyot Indians
RAEB	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Refractory_Anemia_with_Excess_Blasts	Refractory Anemia with Excess Blasts
RAEM	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Refractory_Anemia_with_Excess_Blasts	Refractory Anemia with Excess Blasts
pseudosarcoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Sarcomatoid_Carcinoma	Sarcomatoid Carcinoma
Pseudosarcoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Sarcomatoid_Carcinoma	Sarcomatoid Carcinoma
UIQ	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Upper_Inner_Quadrant_of_the_Breast	Upper-Inner Quadrant of the Breast
Sycuan	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Sycuan	Sycuan race
Tumor	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Tumor	Neoplastic disease
Neoplasia	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Tumor	Neoplastic disease
neoplasia	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Tumor	Neoplastic disease
tumor	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Tumor	Neoplastic disease
SEND-NEOPLASM	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Tumor	Neoplastic disease
Neoplasm	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Tumor	Neoplastic disease
neoplasm	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Tumor	Neoplastic disease
NEOPLASM	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Tumor	Neoplastic disease
PRTC	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Parathyroid_Gland_Carcinoma	Parathyroid Gland Adenocarcinoma
PROBLEM	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#ProblemList_Section	PROBLEM LIST
PROBLEMS	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#ProblemList_Section	PROBLEM LIST
PROBLEM_LIST	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#ProblemList_Section	PROBLEM LIST
Alveolus	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Tooth_Socket	Entire alveolus dentalis
Capillary	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Capillary	Blood capillaries
capillary	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Capillary	Blood capillaries
Capillaries	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Capillary	Blood capillaries
capillarty	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Capillary	Blood capillaries
Pojoaque	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Pojoaque	Pojoaque race
Ectocervix	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ectocervix	Entire ectocervix
Exocervix	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ectocervix	Entire ectocervix
ectocervical	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Ectocervix	Entire ectocervix
Orthotricyclen	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norgestimate	Ethinyl Estradiol/Norgestimate
Previfem	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norgestimate	Ethinyl Estradiol/Norgestimate
Sprintec	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Ethinyl_Estradiol_Norgestimate	Ethinyl Estradiol/Norgestimate
Genitalia.female	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Female_Genitalia	Female Genitalia
thymus	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Thymus_Gland	Thymus Gland
THYMUS	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Thymus_Gland	Thymus Gland
Thymus	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Thymus_Gland	Thymus Gland
Pueblo	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Pueblo	Pueblo Race
RaceAmericanIndianPueblo	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Pueblo	Pueblo Race
ERT	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Estrogen_Replacement_Therapy	Estrogen Replacement Therapy
Medullary	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Adrenal_Medulla	Adrenal Medulla
DFSP	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Giant_Cell_Fibroblastoma	Dermatofibrosarcoma Protuberans
Dermatofibrosarcoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Giant_Cell_Fibroblastoma	Dermatofibrosarcoma Protuberans
dermatofibrosarcoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Giant_Cell_Fibroblastoma	Dermatofibrosarcoma Protuberans
PEL	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Primary_Effusion_Lymphoma	Primary Effusion Lymphoma
Dillingham	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Dillingham	Dillingham Eskimos
Umpqua	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Umpqua	Umpqua Indians
RaceAmericanIndianUmpqua	http://ontologies.dbmi.pitt.edu/deepphe/nlpBreastCancer.owl#Umpqua	Umpqua Indians
cytosol	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cytoplasmic_Matrix	Cytoplasmic Matrix
Cytosol	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cytoplasmic_Matrix	Cytoplasmic Matrix
Cytosols	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cytoplasmic_Matrix	Cytoplasmic Matrix
Cytomatrix	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cytoplasmic_Matrix	Cytoplasmic Matrix
cytomatrix	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cytoplasmic_Matrix	Cytoplasmic Matrix
hyaloplasm	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cytoplasmic_Matrix	Cytoplasmic Matrix
Hyaloplasm	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Cytoplasmic_Matrix	Cytoplasmic Matrix
M	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#M_Stage	M - Metastasis stages
Hamate	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Hamate_Bone	Hamate Bone
hamate	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Hamate_Bone	Hamate Bone
unciform	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Hamate_Bone	Hamate Bone
Pinealomas	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Pineal_Parenchymal_Cell_Neoplasm	Pineal Gland Neoplasm
pinealoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Pineal_Parenchymal_Cell_Neoplasm	Pineal Gland Neoplasm
Pinealoma	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Pineal_Parenchymal_Cell_Neoplasm	Pineal Gland Neoplasm
Oropharynx	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Oropharynx	Entire oropharynx
Oropharyngeal	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Oropharynx	Entire oropharynx
oropharyngeal	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Oropharynx	Entire oropharynx
OROPHARYNX	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Oropharynx	Entire oropharynx
oropharynx	http://ontologies.dbmi.pitt.edu/deepphe/nlpCancer.owl#Oropharynx	Entire oropharynx
